instance,type,count,search
gitlab.isc.org,git,127,
gitlab.isima.fr,git,1,231
gitlab.it.mcgill.ca,git,4,
gitlab.ito.umt.edu,git,11,
gitlab.iut-blagnac.fr,git,26,
gitlab.kit.edu,git,672,
gitlab.kitware.com,git,5,180
gitlab.kwant-project.org,git,317,
gitlab.lam.fr,git,57,
gitlab.lava.polymtl.ca,git,52,
gitlab.lcsb.uni.lu,git,533,
gitlab.lib.utah.edu,git,1,
gitlab.libresilicon.com,git,15,
gitlab.limos.fr,git,68,
gitlab.linphone.org,git,157,
gitlab.linux.community,git,102,
gitlab.lip6.fr,git,159,
gitlab.liris.cnrs.fr,git,158,
gitlab.lis-lab.fr,git,162,
gitlab.lisn.upsaclay.fr,git,122,
gitlab.lms.tf.fau.de,git,20,
gitlab.lrz.de,git,554,
gitlab.maisondelasimulation.fr,git,22,
gitlab.manjaro.org,git,3,423
gitlab.math.ethz.ch,git,31,
gitlab.math.unistra.fr,git,69,
gitlab.math.univ-paris-diderot.fr,git,75,
gitlab.maths.lu.se,git,31,
gitlab.matrix.org,git,14,
gitlab.mbb.cnrs.fr,git,149,
gitlab.meca.polymtl.ca,git,16,
gitlab.met.fu-berlin.de,git,26,
gitlab.metager.de,git,45,
gitlab.mim-libre.fr,git,481,
gitlab.mis.mpg.de,git,34,
gitlab.mjus.gba.gob.ar,git,4,
gitlab.mobilites-m.fr,git,14,
gitlab.mpcdf.mpg.de,git,1,219
gitlab.mpi-klsb.mpg.de,git,71,
gitlab.mpi-magdeburg.mpg.de,git,55,
gitlab.mpi-sws.org,git,392,
gitlab.mpim-bonn.mpg.de,git,1,
gitlab.mpip-mainz.mpg.de,git,3,
gitlab.msu.edu,git,1,95
gitlab.multiscale.utah.edu,git,20,
gitlab.nic.cz,git,538,
gitlab.nomagic.uk,git,28,
gitlab.nuiton.org,git,148,
gitlab.obspm.fr,git,266,
gitlab.oca.eu,git,95,
gitlab.oit.duke.edu,git,3,472
gitlab.onelab.info,git,28,
gitlab.opencode.de,git,886,
gitlab.opengeosys.org,git,146,
gitlab.orc.gmu.edu,git,22,
gitlab.orfeo-toolbox.org,git,101,
gitlab.ow2.org,git,1,700
gitlab.paca.inrae.fr,git,35,
gitlab.pam-retd.fr,git,13,
gitlab.pasteur.fr,git,703,
gitlab.pedago.ensiie.fr,git,126,
gitlab.phaidra.org,git,139,
gitlab.phys.ethz.ch,git,96,
gitlab.physik.lmu.de,git,186,
gitlab.pik-potsdam.de,git,155,
gitlab.pks.mpg.de,git,22,
gitlab.pmcs2i.ec-lyon.fr,git,5,
gitlab.pod.cvut.cz,git,2,
gitlab.priv.socib.es,git,1,
gitlab.psi.ch,git,351,
gitlab.pyicu.org,git,4,
gitlab.raptorengineering.com,git,240,
gitlab.ras.byu.edu,git,12,
gitlab.redox-os.org,git,1,603
gitlab.reutlingen-university.de,git,199,
gitlab.riscosopen.org,git,1,190
gitlab.rm.ingv.it,git,52,
gitlab.roessner-net.de,git,20,
gitlab.rpbs.univ-paris-diderot.fr,git,22,
gitlab.rrz.uni-hamburg.de,git,247,
gitlab.rrze.fau.de,git,88,
gitlab.savoirfairelinux.com,git,19,
gitlab.science.mcgill.ca,git,12,
gitlab.science.ru.nl,git,688,
gitlab.scss.tcd.ie,git,506,
gitlab.se.ifmo.ru,git,5,144
gitlab.seismo.ethz.ch,git,57,
gitlab.shinice.net,git,8,
gitlab.sib.swiss,git,105,
gitlab.siilicloud.com,git,16,
gitlab.snt.utwente.nl,git,47,
gitlab.socs.uoguelph.ca,git,95,
gitlab.socsci.ru.nl,git,129,
gitlab.software.imdea.org,git,31,
gitlab.softwareheritage.org,git,510,
gitlab.soraharu.com,git,61,
gitlab.sorbonne-paris-nord.fr,git,167,
gitlab.spline.de,git,225,
gitlab.spseplzen.cz,git,342,
gitlab.ssemi.cz,git,100,
gitlab.stce.rwth-aachen.de,git,23,
gitlab.steamos.cloud,git,20,
gitlab.stud.idi.ntnu.no,git,2,575
gitlab.stums.techfak.fau.de,git,8,
gitlab.summer-ospp.ac.cn,git,1,72
gitlab.surrey.ac.uk,git,624,
gitlab.switch.ch,git,345,
gitlab.synchrotron-soleil.fr,git,248,
gitlab.tails.boum.org,git,134,
gitlab.telecom-paris.fr,git,113,
gitlab.thesourcecoders.de,git,4,
gitlab.tic-ac.org,git,14,
gitlab.torproject.org,git,1,940
gitlab.tpic.com.au,git,5,
gitlab.traverse.com.au,git,18,
gitlab.trisquel.org,git,166,
gitlab.tt-rss.org,git,104,
gitlab.tudelft.nl,git,473,
gitlab.tuebingen.mpg.de,git,76,
gitlab.ub.uni-bielefeld.de,git,572,
gitlab.ucc.asn.au,git,50,
gitlab.ulb.tu-darmstadt.de,git,33,
gitlab.uncompleted.org,git,6,
gitlab.une.edu.au,git,187,
gitlab.uni-oldenburg.de,git,98,
gitlab.uni-trier.de,git,6,
gitlab.uni.lu,git,183,
gitlab.unige.ch,git,823,
gitlab.unimelb.edu.au,git,313,
gitlab.univ-eiffel.fr,git,28,
gitlab.univ-lille.fr,git,2,242
gitlab.univ-lr.fr,git,349,
gitlab.upt.ro,git,570,
gitlab.usegalaxy.org.au,git,1,
gitlab.uspdigital.usp.br,git,909,
gitlab.utc.fr,git,1,498
gitlab.utwente.nl,git,1,562
gitlab.uvm.edu,git,246,
gitlab.vci.rwth-aachen.de:9000,git,231,
gitlab.vg-lab.es,git,25,
gitlab.vgiscience.de,git,107,
gitlab.villejuif.fr,git,2,
gitlab.wifa.uni-leipzig.de,git,2,
gitlab.wikimedia.org,git,2,86
gitlab.windenergy.dtu.dk,git,262,
gitlab.winehq.org,git,647,
gitlab.wm.edu,git,35,
gitlab.worldguard.com.au,git,1,
gitlab.xfce.org,git,236,
gitlab.xiph.org,git,204,
gitlab.xlim.fr,git,58,
gitlab.zapb.de,git,14,
gitlab.zhdk.ch,git,40,
gitlab01.classe.cornell.edu,git,20,
gitlab03.wpi.edu,git,31,
gitlab2.cip.ifi.lmu.de,git,176,
gitlab2.tamucc.edu,git,47,
gitlabev.imtbs-tsp.eu,git,23,
gitlabext.wsl.ch,git,121,
gitlabinfo.iutmontp.univ-montp2.fr,git,491,
gitli.stratum0.org,git,231,
gricad-gitlab.univ-grenoble-alpes.fr,git,2,316
iacgit.ethz.ch,git,63,
invent.kde.org,git,14,888
plmlab.math.cnrs.fr,git,1,557
premonition.stanford.edu,git,28,
projects.sucs.org,git,78,
pss-gitlab.math.univ-paris-diderot.fr,git,22,
repo.cse.taylor.edu,git,25,
salsa.debian.org,git,72,434
source.denx.de,git,107,
source.mnt.re,git,101,
spclgitlab.ethz.ch,git,36,
swen20003.eng.unimelb.edu.au,git,4,
tclgit.epfl.ch,git,8,
undef.tools,git,18,
